title,contentId,artistName,completitionYear,image,artistUrl,genre,material,style,technique,for_model,image_path,image_size,image_width,image_height,image_new_size,image_new_width,image_new_height,image_new_path
Portrait of an Old Man in Red,220338,Rembrandt,1654.0,https://uploads6.wikiart.org/images/rembrandt/portrait-of-an-old-man-in-red-1654.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1654/220338.jpg,"(676, 780)",676,780,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220338.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220338.jpg
Sacrifice of Isaac,9223372032559831301,Rembrandt,,https://uploads8.wikiart.org/00199/images/rembrandt/woa-image-1-2.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/unknown-year/9223372032559831301.jpg,"(2471, 3633)",2471,3633,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_unknown-year_9223372032559831301.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_unknown-year_9223372032559831301.jpg
The Flight into Egypt,220601,Rembrandt,1654.0,https://uploads2.wikiart.org/images/rembrandt/the-flight-into-egypt.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1654/220601.jpg,"(760, 500)",760,500,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220601.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220601.jpg
The Entombment,220597,Rembrandt,1635.0,https://uploads0.wikiart.org/images/rembrandt/the-entombment-1635.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1635/220597.jpg,"(1035, 821)",1035,821,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1635_220597.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1635_220597.jpg
Mater Dolorosa,220237,Rembrandt,1660.0,https://uploads0.wikiart.org/images/rembrandt/mater-dolorosa-1660.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1660/220237.jpg,"(695, 1000)",695,1000,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1660_220237.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1660_220237.jpg
Tobit and Anna,220707,Rembrandt,1659.0,https://uploads0.wikiart.org/images/rembrandt/tobit-and-anna-1659.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1659/220707.jpg,"(600, 458)",600,458,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1659_220707.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1659_220707.jpg
Artemisia,220041,Rembrandt,1634.0,https://uploads4.wikiart.org/images/rembrandt/artemisia-1634.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1634/220041.jpg,"(1297, 1200)",1297,1200,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1634_220041.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1634_220041.jpg
Bathsheba at Her Bath (Bathsheba Holding King David's Letter),220048,Rembrandt,1654.0,https://uploads3.wikiart.org/images/rembrandt/bathsheba-bathing-1654.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1654/220048.jpg,"(1043, 1033)",1043,1033,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220048.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220048.jpg
Portrait of a Young Woman,220326,Rembrandt,1655.0,https://uploads2.wikiart.org/images/rembrandt/portrait-of-a-young-woman-1655.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1655/220326.jpg,"(420, 497)",420,497,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1655_220326.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1655_220326.jpg
Self-portrait,220432,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/self-portrait-1630.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1630/220432.jpg,"(1409, 1600)",1409,1600,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1630_220432.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1630_220432.jpg
