title,contentId,artistName,completitionYear,image,artistUrl,genre,material,style,technique,for_model,artistUrl_in_images
Vivisection,337212,3D,1988.0,https://uploads8.wikiart.org/images/3d/vivisection-1988.jpg!Large.jpg,3d,symbolic painting,,Street art,,1.0,1.0
Agent Blue,337205,3D,1991.0,https://uploads7.wikiart.org/images/3d/agent-blue-1991.jpg!Large.jpg,3d,symbolic painting,,Street art,,1.0,1.0
Naked Lunch,337207,3D,1994.0,https://uploads8.wikiart.org/images/3d/naked-lunch-1994.jpg!Large.jpg,3d,symbolic painting,,Street art,,1.0,1.0
In Baghdad,337206,3D,,https://uploads2.wikiart.org/images/3d/in-baghdad.jpg!Large.jpg,3d,symbolic painting,,Street art,,1.0,1.0
Untitled (Headz),337211,3D,,https://uploads6.wikiart.org/images/3d/untitled-headz.jpg!Large.jpg,3d,symbolic painting,,Street art,,1.0,1.0
[Unkown],9223372032559880620,￿,,https://uploads3.wikiart.org/00366/images/abraham-hulk-sr/hulk-abraham-8.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880619,￿,,https://uploads3.wikiart.org/00366/images/abraham-hulk-sr/hulk-abraham-7.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880618,￿,,https://uploads3.wikiart.org/00366/images/abraham-hulk-sr/hulk-abraham-6.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880617,￿,,https://uploads5.wikiart.org/00366/images/abraham-hulk-sr/hulk-abraham-5-1.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880616,￿,,https://uploads3.wikiart.org/00366/images/abraham-hulk-sr/hulk-abraham-4.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880615,￿,,https://uploads3.wikiart.org/00366/images/abraham-hulk-sr/hulk-abraham-3.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880614,￿,,https://uploads3.wikiart.org/00366/images/abraham-hulk-sr/hulk-abraham-2.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880613,￿,,https://uploads3.wikiart.org/00366/images/abraham-hulk-sr/hulk-abraham-1.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880612,￿,,https://uploads2.wikiart.org/00366/images/abraham-hulk-sr/th-2.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
Moored sailing ships on a calm afternoon,9223372032559880611,￿,,https://uploads7.wikiart.org/00366/images/abraham-hulk-sr/e287cc61-3ccd-40cb-ae7e-87a844d663a5.jpg!Large.jpg,abraham-hulk-sr,"landscape, marina",,Romanticism,,1.0,1.0
[Unkown],9223372032559880610,￿,,https://uploads4.wikiart.org/00366/images/abraham-hulk-sr/fdyfqdxwyay4fzb.jpg!Large.jpg,abraham-hulk-sr,"marina, landscape",,Romanticism,,1.0,1.0
At Days End,9223372032559880609,￿,,https://uploads6.wikiart.org/00366/images/abraham-hulk-sr/1000-dpi-unframed.jpg!Large.jpg,abraham-hulk-sr,"marina, landscape",,Romanticism,,1.0,1.0
Havnescene Med Antikke Ruiner,9223372032559847806,Storck Abraham,1666.0,https://uploads3.wikiart.org/00281/images/abraham-storck/abraham-storck-havnescene-med-antikke-ruiner-1666-0190nmk-nivaagaards-malerisamling-1.jpg!Large.jpg,abraham-storck,marina,,Baroque,,1.0,1.0
Havnescene Med Middelalderlig Bygning,9223372032559847807,Storck Abraham,1674.0,https://uploads1.wikiart.org/00281/images/abraham-storck/abraham-storck-havescene-med-middelalderlig-bygning-1674-0191nmk-nivaagaards-malerisamling-1.jpg!Large.jpg,abraham-storck,marina,,Baroque,,1.0,1.0
Dam Square in Amsterdam,9223372032559847877,Storck Abraham,1675.0,https://uploads0.wikiart.org/00281/images/abraham-storck/sa-1755-de-dam-de-dam-naar-het-noorden-gezien-met-het-stadhuis-de-nieuwe-kerk-de-waag-en-de.jpg!Large.jpg,abraham-storck,cityscape,,Baroque,,1.0,1.0
Gezicht Op De Laurenskerk Gezien Vanuit Noordoosten,9223372032559847832,Storck Abraham,1676.0,https://uploads4.wikiart.org/00281/images/abraham-storck/abraham-storck-gezicht-op-de-laurenskerk-gezien-vanuit-noordoosten-10830-a-b-museum-rotterdam-1.jpg!Large.jpg,abraham-storck,marina,,Baroque,,1.0,1.0
"A River Landscape with Fishermen in Rowing Boats, Windmills Beyond",9223372032559847822,Storck Abraham,1679.0,https://uploads6.wikiart.org/00281/images/abraham-storck/abraham-storck-a-river-landscape-with-fishermen-in-rowing-boats-1679-1.jpg!Large.jpg,abraham-storck,"marina, cloudscape",,Baroque,,1.0,1.0
Beach View,9223372032559847824,Storck Abraham,1683.0,https://uploads6.wikiart.org/00281/images/abraham-storck/abraham-storck-beach-view-174-mauritshuis-1.jpg!Large.jpg,abraham-storck,marina,,Baroque,,1.0,1.0
Boats at a Mooring Place,9223372032559847826,Storck Abraham,1683.0,https://uploads2.wikiart.org/00281/images/abraham-storck/abraham-storck-boats-at-a-mooring-place-173-mauritshuis-1.jpg!Large.jpg,abraham-storck,marina,,Baroque,,1.0,1.0
