title,contentId,artistName,completitionYear,image,artistUrl,genre,material,style,technique,for_model
Old man with turban,220277,Rembrandt,1625.0,https://uploads0.wikiart.org/images/rembrandt/old-man-with-turban.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
The Stoning Of St. Stephen,220670,Rembrandt,1625.0,https://uploads2.wikiart.org/images/rembrandt/the-stoning-of-st-stephen-1625.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
The Sense Of Sight,220655,Rembrandt,1625.0,https://uploads8.wikiart.org/images/rembrandt/the-sense-of-sight.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Artist in his Studio,220042,Rembrandt,1626.0,https://uploads6.wikiart.org/images/rembrandt/artist-in-his-studio-1626.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Balaam's Ass,220045,Rembrandt,1626.0,https://uploads7.wikiart.org/images/rembrandt/balaam-s-ass-1626.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
Christ Driving the Moneychangers from the Temple,220097,Rembrandt,1626.0,https://uploads7.wikiart.org/images/rembrandt/christ-driving-the-moneychangers-from-the-temple-1626.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
History Painting,220159,Rembrandt,1626.0,https://uploads2.wikiart.org/images/rembrandt/history-painting-1626.jpg!Large.jpg,rembrandt,history painting,,Baroque,,1.0
Musical Allegory,220246,Rembrandt,1626.0,https://uploads2.wikiart.org/images/rembrandt/musical-allegory-1626.jpg!Large.jpg,rembrandt,allegorical painting,,Baroque,,1.0
The Baptism Of The Eunuch,220570,Rembrandt,1626.0,https://uploads2.wikiart.org/images/rembrandt/the-baptism-of-the-eunuch-1626.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
A Warrior,219986,Rembrandt,1627.0,https://uploads4.wikiart.org/images/rembrandt/a-warrior-1627.jpg!Large.jpg,rembrandt,"portrait, tronie",,Baroque,,1.0
David Offering the Head of Goliath to King Saul,220115,Rembrandt,1627.0,https://uploads6.wikiart.org/images/rembrandt/david-offering-the-head-of-goliath-to-king-saul-1627.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
St. Paul in Prison,220534,Rembrandt,1627.0,https://uploads3.wikiart.org/images/rembrandt/st-paul-in-prison-1627.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
The rich fool,326870,Rembrandt,1627.0,https://uploads8.wikiart.org/images/rembrandt/the-rich-fool-1627.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0
Beggar man and woman,220053,Rembrandt,1628.0,https://uploads6.wikiart.org/images/rembrandt/beggar-man-and-woman-1628.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
"Bust of an Old Woman, Rembrandt`s Mother",220078,Rembrandt,1628.0,https://uploads7.wikiart.org/images/rembrandt/bust-of-an-old-woman-rembrandt-s-mother-1628.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Man Pulling a Rope,220229,Rembrandt,1628.0,https://uploads4.wikiart.org/images/rembrandt/man-pulling-a-rope-1628.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Portrait of Rembrandt van Rijn,220375,Rembrandt,1628.0,https://uploads2.wikiart.org/images/rembrandt/portrait-of-rembrandt-van-rijn.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
Presentation in the Temple,220389,Rembrandt,1628.0,https://uploads3.wikiart.org/images/rembrandt/presentation-in-the-temple-1628.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
Samson And Delilah,220408,Rembrandt,1628.0,https://uploads4.wikiart.org/images/rembrandt/samson-and-delilah-1628.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
Self-portrait as a Young Man,220465,Rembrandt,1628.0,https://uploads3.wikiart.org/00364/images/rembrandt/831px-self-portrait-as-a-young-man-by-rembrandt.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-Portrait Leaning Forward (bust),220484,Rembrandt,1628.0,https://uploads2.wikiart.org/images/rembrandt/self-portrait-leaning-forward-bust-1628.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
"Self-Portrait, Leaning Forward (Listening)",220507,Rembrandt,1628.0,https://uploads7.wikiart.org/images/rembrandt/self-portrait-leaning-forward-listening-1628.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Two Old Men Disputing,220713,Rembrandt,1628.0,https://uploads2.wikiart.org/images/rembrandt/two-old-men-disputing.jpg!Large.jpg,rembrandt,genre painting,,"Baroque, Tenebrism",,1.0
The Artist In His Studio,220565,Rembrandt,1628.0,https://uploads5.wikiart.org/images/rembrandt/the-artist-in-his-studio.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Beggar in a High Cap Standing,220050,Rembrandt,1629.0,https://uploads6.wikiart.org/images/rembrandt/beggar-in-a-high-cap-standing-1629.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Beggar with a crippled hand leaning on a stick,220057,Rembrandt,1629.0,https://uploads5.wikiart.org/images/rembrandt/beggar-with-a-crippled-hand-leaning-on-a-stick-1629.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
David Playing The Harp To Saul,220116,Rembrandt,1629.0,https://uploads2.wikiart.org/images/rembrandt/david-playing-the-harp-to-saul.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0
Man with a Magnifying Glass,220232,Rembrandt,1629.0,https://uploads4.wikiart.org/images/rembrandt/man-with-a-magnifying-glass-1629.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
Old beggar woman with a gourd,220265,Rembrandt,1629.0,https://uploads6.wikiart.org/images/rembrandt/old-beggar-woman-with-a-gourd-1629.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Old man Sleeping,220273,Rembrandt,1629.0,https://uploads2.wikiart.org/images/rembrandt/old-man-sleeping-1629.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Peter and John at the gate of the Temple,220287,Rembrandt,1629.0,https://uploads8.wikiart.org/images/rembrandt/peter-and-john-at-the-gate-of-the-temple-1629.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
Repentant Judas Returning The Pieces Of Silver,220401,Rembrandt,1629.0,https://uploads5.wikiart.org/images/rembrandt/repentant-judas-returning-the-pieces-of-silver-1629.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0
Seated beggar and his dog,220425,Rembrandt,1629.0,https://uploads2.wikiart.org/images/rembrandt/seated-beggar-and-his-dog-1629.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Self-portrait,220431,Rembrandt,1629.0,https://uploads8.wikiart.org/images/rembrandt/self-portrait-1629.jpg!Large.jpg,rembrandt,self-portrait,,"Baroque, Tenebrism",,1.0
Self-portrait at an early age,220467,Rembrandt,1629.0,https://uploads6.wikiart.org/images/rembrandt/self-portrait-at-an-early-age-1629.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-Portrait in a Gorget,220476,Rembrandt,1629.0,https://uploads6.wikiart.org/images/rembrandt/self-portrait-in-a-gorget.jpg!Large.jpg,rembrandt,self-portrait,,"Baroque, Tenebrism",,1.0
Self-Portrait in a Plumed Hat,220478,Rembrandt,1629.0,https://uploads6.wikiart.org/images/rembrandt/self-portrait-in-a-plumed-hat-1629.jpg!Large.jpg,rembrandt,self-portrait,,"Baroque, Tenebrism",,1.0
The blindness of Tobit,220579,Rembrandt,1629.0,https://uploads8.wikiart.org/images/rembrandt/the-blindness-of-tobit-1629.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
The Young Rembrandt as Democritus the Laughing Philosopher,220693,Rembrandt,1629.0,https://uploads8.wikiart.org/images/rembrandt/the-young-rembrandt-as-democritus-the-laughing-philosopher-1629.jpg!Large.jpg,rembrandt,"genre painting, tronie",,Baroque,,1.0
The Supper at Emmaus,220674,Rembrandt,1629.0,https://uploads1.wikiart.org/images/rembrandt/the-supper-at-emmaus.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
Self-portrait,220462,Rembrandt,1629.0,https://uploads5.wikiart.org/images/rembrandt/self-portrait-9.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-portrait with Gorget and Beret,220494,Rembrandt,1629.0,https://uploads7.wikiart.org/images/rembrandt/self-portrait-with-gorget-and-beret.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,"Baroque, Tenebrism",,1.0
A Beggar Sitting in an Elbow Chair,219940,Rembrandt,1630.0,https://uploads2.wikiart.org/images/rembrandt/a-beggar-sitting-in-an-elbow-chair-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
A Beggar Warming his Hands over a Chafing Dish,219942,Rembrandt,1630.0,https://uploads5.wikiart.org/images/rembrandt/a-beggar-warming-his-hands-over-a-chafing-dish-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
A Beggar with a Wooden Leg,219943,Rembrandt,1630.0,https://uploads3.wikiart.org/images/rembrandt/a-beggar-with-a-wooden-leg-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
A Man in a Room,219953,Rembrandt,1630.0,https://uploads1.wikiart.org/images/rembrandt/a-man-in-a-room-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
An Old Man in Military Costume (formerly called Portrait of Rembrandt's Father),220024,Rembrandt,1630.0,https://uploads0.wikiart.org/images/rembrandt/an-old-man-in-military-costume-formerly-called-portrait-of-rembrandt-s-father-1630.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
An Old Man with a Beard,220027,Rembrandt,1630.0,https://uploads0.wikiart.org/images/rembrandt/an-old-man-with-a-beard-1630.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
An Old Man with a Large Beard,220030,Rembrandt,1630.0,https://uploads6.wikiart.org/images/rembrandt/an-old-man-with-a-large-beard-1630.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
