title,contentId,artistName,completitionYear,image,artistUrl,genre,material,style,technique,for_model,image_path,image_size,image_width,image_height,image_new_size,image_new_width,image_new_height,image_new_path
The Park at Mortefontaine,9223372032559844402,Bidauld Jean-Joseph-Xavier,1806.0,https://uploads8.wikiart.org/00261/images/jean-joseph-xavier-bidauld/bidauld-jean-joseph-xavier-the-park-at-mortefontaine-google-art-project.jpg!Large.jpg,jean-joseph-xavier-bidauld,landscape,,Neoclassicism,,1.0,wikiart-master/wiki_art_saved/images/jean-joseph-xavier-bidauld/1806/9223372032559844402.jpg,"(5793, 4001)",5793,4001,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jean-joseph-xavier-bidauld_1806_9223372032559844402.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jean-joseph-xavier-bidauld_1806_9223372032559844402.jpg
The Lodge,222061,Bonnard Pierre,1908.0,https://uploads0.wikiart.org/images/pierre-bonnard/the-lodge-1908.jpg!Large.jpg,pierre-bonnard,genre painting,,Post-Impressionism,,1.0,wikiart-master/wiki_art_saved/images/pierre-bonnard/1908/222061.jpg,"(1854, 1373)",1854,1373,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/pierre-bonnard_1908_222061.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/pierre-bonnard_1908_222061.jpg
Unbreakable Spirit,9223372032559872945,￿,2020.0,https://uploads8.wikiart.org/00337/images/bert-pro/cc013587-7361-4409-bb3e-0a36536f9c0a.jpeg!Large.jpeg,bert-pro,allegorical painting,,,,1.0,wikiart-master/wiki_art_saved/images/bert-pro/2020/9223372032559872945.jpg,"(1177, 1182)",1177,1182,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/bert-pro_2020_9223372032559872945.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/bert-pro_2020_9223372032559872945.jpg
Tableau De Marine,9223372032559847846,Storck Abraham,,https://uploads4.wikiart.org/00281/images/abraham-storck/abraham-storck-marine-1.jpg!Large.jpg,abraham-storck,marina,,Baroque,,1.0,wikiart-master/wiki_art_saved/images/abraham-storck/unknown-year/9223372032559847846.jpg,"(2072, 1828)",2072,1828,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/abraham-storck_unknown-year_9223372032559847846.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/abraham-storck_unknown-year_9223372032559847846.jpg
Forest,9223372032559856862,Smith Thomas Stuart,,https://uploads7.wikiart.org/00309/images/thomas-stuart-smith/forest-h-38-x-w-56-3-cm-paper.jpg!Large.jpg,thomas-stuart-smith,landscape,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/thomas-stuart-smith/unknown-year/9223372032559856862.jpg,"(1200, 809)",1200,809,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/thomas-stuart-smith_unknown-year_9223372032559856862.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/thomas-stuart-smith_unknown-year_9223372032559856862.jpg
Evening,239106,Somov Konstantin,1902.0,https://uploads0.wikiart.org/images/konstantin-somov/evening-1902.jpg!Large.jpg,konstantin-somov,genre painting,,Symbolism,,1.0,wikiart-master/wiki_art_saved/images/konstantin-somov/1902/239106.jpg,"(1000, 702)",1000,702,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/konstantin-somov_1902_239106.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/konstantin-somov_1902_239106.jpg
"Queen of Trumps in a Stable, with Two Grooms",9223372032559844668,Sr. John Frederick Herring,,https://uploads5.wikiart.org/00264/images/john-frederick-herring-sr/queen-of-trumps.jpg!Large.jpg,john-frederick-herring-sr,"animal painting, genre painting",,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/john-frederick-herring-sr/unknown-year/9223372032559844668.jpg,"(742, 596)",742,596,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/john-frederick-herring-sr_unknown-year_9223372032559844668.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/john-frederick-herring-sr_unknown-year_9223372032559844668.jpg
Mangalia Yard,304925,Darascu Nicolae,1925.0,https://uploads5.wikiart.org/images/nicolae-darascu/mangalia-yard-1925.jpg!Large.jpg,nicolae-darascu,genre painting,,Post-Impressionism,,1.0,wikiart-master/wiki_art_saved/images/nicolae-darascu/1925/304925.jpg,"(1000, 819)",1000,819,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/nicolae-darascu_1925_304925.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/nicolae-darascu_1925_304925.jpg
War Scene,282595,Souto Arturo,1937.0,https://uploads0.wikiart.org/images/arturo-souto/war-scene-1937-6.jpg!Large.jpg,arturo-souto,genre painting,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/arturo-souto/1937/282595.jpg,"(800, 606)",800,606,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/arturo-souto_1937_282595.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/arturo-souto_1937_282595.jpg
Untitled,288111,Bill Max,1972.0,https://uploads2.wikiart.org/images/max-bill/untitled-1972.jpg!Large.jpg,max-bill,abstract,,Concretism,,1.0,wikiart-master/wiki_art_saved/images/max-bill/1972/288111.jpg,"(480, 570)",480,570,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/max-bill_1972_288111.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/max-bill_1972_288111.jpg
